route_id,agency_id,route_short_name,route_long_name,route_type,route_color
L100D1,1,100,"Zličín - Letiště",3,
L101D1,1,101,"Tolstého - Zentiva",3,
L102D1,1,102,"Šimůnkova - Staré Bohnice",3,
L103D1,1,103,"Březiněves - Ládví",3,
L105D1,1,105,"Smíchovské nádr. - Filmové ateliéry - Smíchovské nádr.",3,
L106D1,1,106,"Kačerov - Nádraží Braník",3,
L107D1,1,107,"Dejvická - Suchdol",3,
L108D1,1,108,"Sídl. Na Dědině - Bořislavka",3,
L109D1,1,109,"VÚ Běchovice - Palmovka",3,
L110D6,6,110,"Třeboradice - Dolní Počernice",3,
L111D1,1,111,"Koloděje - Skalka",3,
L112D1,1,112,"Podhoří - Nádr. Holešovice",3,
L113D1,1,113,"Písnice - Kačerov",3,
L115D11,11,115,"Chodov - Městský archiv - Chodov",3,
L116D1,1,116,"Nebušice - Dejvická",3,
L117D1,1,117,"Čechova čtvrť - Polikl. Budějovická",3,
L118D1,1,118,"Smíchovské nádr. - Sídliště Spořilov",3,
L119D1,1,119,"Terminál 1 - Nádr. Veleslavín",3,
L11D1,1,11,"Spořilov - Spojovací",0,
L120D1,1,120,"Nádraží Radotín - Na Knížecí",3,
L121D1,1,121,"Nádraží Braník - Polikl. Budějovická",3,
L123D1,1,123,"Šmukýřka - Na Knížecí",3,
L124D1,1,124,"Habrová - Dvorce",3,
L125D1,1,125,"Skalka - Smíchovské nádr.",3,
L128D1,1,128,"Hlubočepy - Žvahov - Hlubočepy",3,
L129D1,1,129,"Baně - Smíchovské nádr.",3,
L12D1,1,12,"Sídliště Barrandov - Výstaviště Holešovice",0,
L130D1,1,130,"Chaplinovo nám. - Zličín",3,
L131D1,1,131,"Bořislavka - Hradčanská",3,
L134D1,1,134,"Na Strži - Podolská vodárna",3,
L135D1,1,135,"Florenc - Chodov",3,
L136D1,1,136,"Sídliště Čakovice - Jižní Město",3,
L137D1,1,137,"Malá Ohrada - Na Knížecí",3,
L138D1,1,138,"Ústavy Akademie věd - Sídliště Skalka",3,
L139D1,1,139,"Želivského - Komořany",3,
L13D1,1,13,"Čechovo náměstí - Černokostelecká",0,
L140D1,1,140,"Miškovice - Palmovka",3,
L141D1,1,141,"Ve Žlíbku - Hloubětínská",3,
L142D1,1,142,"Velká Ohrada - Nové Butovice",3,
L143D1,1,143,"Stadion Strahov - Dejvická",3,
L144D1,1,144,"Polikl. Mazurská - Kobylisy",3,
L145D1,1,145,"Sídliště Čimice - Kobylisy",3,
L146D63,63,146,"Spojovací - Mezitraťová - Spojovací",3,
L147D1,1,147,"Výhledy - Dejvická",3,
