stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
U953Z102,"Skalka",50.068435,14.507169,0,U953N1,1
U713Z102,"Strašnická",50.073336,14.490091,0,U713N2,1
U921Z102,"Želivského",50.07854,14.474891,0,U921N3,2
U118Z102,"Flora",50.078288,14.461886,0,U118N4,2
U209Z102,"Jiřího z Poděbrad",50.077642,14.45004,0,U209N5,2
U476Z102,"Náměstí Míru",50.075398,14.439078,0,U476N6,2
U1072Z102,"Můstek - A",50.083943,14.424149,0,U1072N7,1
U703Z102,"Staroměstská",50.088454,14.417066,0,U703N8,2
U360Z102,"Malostranská",50.092176,14.409101,0,U360N9,2
U163Z102,"Hradčanská",50.097671,14.402535,0,U163N10,2
U321Z102,"Dejvická",50.100481,14.392462,0,U321N11,1
U157Z102,"Bořislavka",50.098319,14.36212,0,U157N12,1
U462Z102,"Nádraží Veleslavín",50.09551,14.348419,0,U462N13,1
U507Z102,"Petřiny",50.086608,14.345018,0,U507N14,1
U306Z102,"Nemocnice Motol",50.074985,14.340497,0,U306N15,1
U306Z101,"Nemocnice Motol",50.075351,14.341707,0,U306N15,1
U507Z101,"Petřiny",50.087075,14.344858,0,U507N14,1
U462Z101,"Nádraží Veleslavín",50.096355,14.350112,0,U462N13,1
U157Z101,"Bořislavka",50.098363,14.363545,0,U157N12,1
U321Z101,"Dejvická",50.100464,14.393888,0,U321N11,1
U163Z101,"Hradčanská",50.097214,14.403785,0,U163N10,2
U360Z101,"Malostranská",50.091274,14.409325,0,U360N9,2
U703Z101,"Staroměstská",50.087953,14.418276,0,U703N8,2
U1072Z101,"Můstek - A",50.083119,14.424965,0,U1072N7,1
U400Z101,"Muzeum - A",50.079082,14.432009,0,U400N16,1
U476Z101,"Náměstí Míru",50.075225,14.440483,0,U476N6,2
U209Z101,"Jiřího z Poděbrad",50.077802,14.451461,0,U209N5,2
U118Z101,"Flora",50.078266,14.463298,0,U118N4,2
U921Z101,"Želivského",50.078027,14.476067,0,U921N3,2
U713Z101,"Strašnická",50.072806,14.490938,0,U713N2,1
U953Z101,"Skalka",50.068425,14.508556,0,U953N1,1
U1071Z101,"Depo Hostivař",50.075523,14.515446,0,U1071N17,1
